run,file_name,sample_id,nuclei_count,FITC_TRF2_candidate_total_count,RhReX_gH2AX_candidate_total_count,colocalized_RhReX_gH2AX_candidate_total_count,colocalized_pairs_count,TRF2_per_nucleus,gH2AX_per_nucleus,coloc_gH2AX_per_nucleus,voxel_size_z_um,voxel_size_y_um,voxel_size_x_um
20x_2d,Well1.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep01,118,602,8,7,8,5.101694915254237,0.06779661016949153,0.059322033898305086,0.57,0.311962890625,0.311962890625
20x_2d,Well2.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep02,2,0,0,0,0,0.0,0.0,0.0,0.57,0.311962890625,0.311962890625
20x_2d,Well4.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep04,114,169,0,0,0,1.4824561403508771,0.0,0.0,0.57,0.311962890625,0.311962890625
20x_2d,Well5.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep05,102,686,18,17,34,6.7254901960784315,0.17647058823529413,0.16666666666666666,0.57,0.311962890625,0.311962890625
20x_2d,Well6.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep06,137,2149,17,17,41,15.686131386861314,0.12408759124087591,0.12408759124087591,0.57,0.311962890625,0.311962890625
63x_2d,Well6 63x.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_63x_rep06,4,564,11,10,20,141.0,2.75,2.5,0.25,0.0990358382936508,0.0990358382936508
20x_3d,Well1.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep01,123,1861,624,16,16,15.130081300813009,5.073170731707317,0.13008130081300814,0.57,0.311962890625,0.311962890625
20x_3d,Well2.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep02,123,2043,650,20,20,16.609756097560975,5.284552845528455,0.16260162601626016,0.57,0.311962890625,0.311962890625
20x_3d,Well4.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep04,194,20334,4230,202,202,104.81443298969072,21.804123711340207,1.041237113402062,0.57,0.311962890625,0.311962890625
20x_3d,Well5.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep05,114,3707,832,48,48,32.51754385964912,7.298245614035087,0.42105263157894735,0.57,0.311962890625,0.311962890625
20x_3d,Well6.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_conditionUNK_rep06,154,4936,847,37,37,32.05194805194805,5.5,0.24025974025974026,0.57,0.311962890625,0.311962890625
63x_3d,Well6 63x.czi,TRF2_yH2AX_coloc_3D_firstpass_dateUNK_hr_63x_rep06,8,14820,419,47,61,1852.5,52.375,5.875,0.25,0.0990358382936508,0.0990358382936508
